POINT;TYPE_CODE;PAS
21239652572634;CDC;PT30M
21340376200464;CDC;PT30M
21356439901720;CDC;PT30M
21515484665302;CDC;PT30M
21591751033315;CDC;PT30M
22189290852895;CDC;PT30M
22327062095664;CDC;PT30M
22356150481006;CDC;PT30M
22374529638139;CDC;PT30M
22511577417020;CDC;PT30M
22521997061593;CDC;PT30M
23104630910705;CDC;PT30M
23166859522560;CDC;PT30M
23247177933657;CDC;PT30M
23518089706197;CDC;PT30M
24132272057960;CDC;PT30M
24133863952081;CDC;PT30M
24228943510906;CDC;PT10M
24285383454643;CDC;PT30M
24299276328480;CDC;PT10M
24357308214980;CDC;PT30M
24567583122360;CDC;PT30M
25224167814241;CDC;PT30M
25225904432756;CDC;PT30M
25253979648107;CDC;PT30M
25349638102578;CDC;PT30M
25385672920195;CDC;PT30M
25473950681302;CDC;PT30M
25849493437237;CDC;PT10M
25876700370768;CDC;PT10M
25878292320462;CDC;PT30M
25945007179683;CDC;PT30M
22171201005517;CDC;PT30M
12242691730451;CDC;PT30M
01106222741598;CDC;PT30M
01195368984986;CDC;PT30M
01290593284207;CDC;PT30M
01320549853491;CDC;PT30M
01330535342607;CDC;PT30M
01362807501310;CDC;PT30M
01465701809380;CDC;PT30M
01491461607367;CDC;PT30M
01565122939065;CDC;PT30M
01652532530380;CDC;PT30M
02111432701878;CDC;PT30M
02467293672661;CDC;PT30M
02473661295746;CDC;PT30M
02508393566094;CDC;PT30M
02508393566094;CDC;PT30M
04145730804220;CDC;PT30M
04211287977771;CDC;PT30M
05121128777925;CDC;PT30M
05136324162404;CDC;PT30M
05619247433907;CDC;PT30M
07436034653003;CDC;PT30M
09317655562500;CDC;PT30M
09328219921149;CDC;PT30M
09350361683780;CDC;PT30M
09507959478622;CDC;PT30M
09578002893610;CDC;PT30M
09685817628584;CDC;PT30M
12226628034337;CDC;PT30M
12412445708552;CDC;PT30M
14225904446587;CDC;PT30M
14239073667328;CDC;PT30M
14320694641231;CDC;PT30M
14344862433148;CDC;PT30M
14349927561128;CDC;PT30M
14391895707810;CDC;PT30M
14400144679441;CDC;PT30M
14430969578501;CDC;PT30M
14510274937808;CDC;PT30M
14665846516546;CDC;PT30M
14796382002765;CDC;PT30M
14803617836476;CDC;PT30M
15157452924952;CDC;PT30M
15162228639404;CDC;PT30M
15298552743349;CDC;PT30M
16112011435206;CDC;PT30M
16155716323567;CDC;PT30M
16158900103612;CDC;PT30M
16164978219488;CDC;PT30M
16436324142824;CDC;PT30M
16472793022345;CDC;PT30M
16564109892631;CDC;PT30M
17266570148944;CDC;PT30M
17691172181327;CDC;PT30M
17970477535398;CDC;PT30M
19135455803023;CDC;PT30M
19170622150697;CDC;PT30M
19170622150697;CDC;PT30M
19308972429324;CDC;PT10M
19320260425561;CDC;PT30M
19350795873572;CDC;PT10M
19372358787385;CDC;PT10M
19492619367238;CDC;PT30M
19611577402847;CDC;PT10M
19746888556415;CDC;PT30M
19924891399147;CDC;PT30M
19942402277202;CDC;PT30M
19970188052662;CDC;PT30M
21224167756624;CDC;PT30M
21285093989645;CDC;PT30M
21385528187133;CDC;PT30M
21502894247823;CDC;PT30M
22220115717046;CDC;PT30M
22448769820351;CDC;PT30M
22504630963110;CDC;PT30M
22551230000243;CDC;PT30M
22562083882409;CDC;PT30M
23131982606262;CDC;PT30M
23285093991463;CDC;PT30M
24133429781610;CDC;PT30M
24154269153043;CDC;PT30M
24183936269603;CDC;PT30M
24243415290964;CDC;PT10M
25124167720289;CDC;PT30M
25155137412520;CDC;PT30M
25204051987031;CDC;PT30M
25298408055411;CDC;PT10M
25299276386853;CDC;PT30M
25324312444371;CDC;PT30M
25334442834128;CDC;PT30M
25479739495664;CDC;PT30M
25839218482611;CDC;PT30M
25851808899061;CDC;PT10M
25877134524134;CDC;PT10M
19359913120439;CDC;PT30M
01160926165261;CDC;PT30M
01216497757370;CDC;PT30M
01303038961981;CDC;PT30M
01389580251301;CDC;PT30M
01395513736858;CDC;PT30M
01449927529828;CDC;PT30M
02557452891436;CDC;PT30M
02566859591512;CDC;PT30M
04234587545212;CDC;PT30M
04353690259524;CDC;PT10M
05133285028220;CDC;PT30M
05410419640710;CDC;PT30M
06316497788088;CDC;PT30M
06596671440395;CDC;PT30M
07112590391651;CDC;PT30M
07517944980001;CDC;PT30M
09275542683094;CDC;PT30M
09303183740405;CDC;PT30M
09350940578843;CDC;PT30M
09451808932380;CDC;PT30M
12477423976695;CDC;PT30M
